_Kode,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Pameran,_Lokasi,_Deskripsi,@images,_PDF,_Link,@QR-Images
LK/001/ITG/86/BBY/TM,Golgota,1986,Istigno,91 x 125 cm,Cat poster di atas kanvas,TANDA MATA I,,,/TM-Low/LK001ITG86BBYTM.jpeg,LK_001_ITG_86_BBY_TM.pdf,https://drive.google.com/file/d/10mg1r7nV-QvEY0OSHqw--nDY9W-o_ulx/view?usp=drivesdk,
LK/002/PRB/84/BBY/TM,Perahu,1984,Probo,92 x 69 cm,Cat minyak di atas kanvas,TANDA MATA I,C01-2,,/TM-Low/LK002PRB84BBYTM.jpeg,LK_002_PRB_84_BBY_TM.pdf,https://drive.google.com/file/d/1kGDqNSu5TolcOR0b1_Siv_59RKtExIQz/view?usp=drivesdk,
LK/003/HHS/13/BBJ/TM,Juma Pon,2013,Herjaka HS,115 x 200 cm,Acrylic on canvas,,C02-1,,/TM-Low/LK003HHS13BBJTM.jpeg,LK_003_HHS_13_BBJ_TM.pdf,https://drive.google.com/file/d/1v1kDmvKo7ZnT8oO7kEiYz2PFUkEdEuaG/view?usp=drivesdk,
LK/004/WAR/08/BBJ/TM,Jakob Oetama,2008,Wedha Abdul Rasjid ,150 x 100 cm,Mix media on canvas,,C02-2,,/TM-Low/LK004WAR08BBJTM.jpeg,LK_004_WAR_08_BBJ_TM.pdf,https://drive.google.com/file/d/1G8YsVF3CIs4gfd-kaVufx2jV8gBHlKlV/view?usp=drivesdk,
LK/005/SKR/81/BBY/TM,Aktivitas,1981,Sukirno KR,90 x 150 cm,Cat minyak di atas kanvas,TANDA MATA I,C01-2,,/TM-Low/LK005SKR81BBYTM.jpeg,LK_005_SKR_81_BBY_TM.pdf,https://drive.google.com/file/d/1plGI1wHTHH_f5-hEv3Hap9FKaj0QH6aW/view?usp=drivesdk,
LK/006/MTN/83/BBY/TM,Buket,1983,Muntiana,38 x 52 cm,Cat minyak di atas kertas,TANDA MATA I,C02-2,,/TM-Low/LK006MTN83BBYTM.jpeg,LK_006_MTN_83_BBY_TM.pdf,https://drive.google.com/file/d/1QSDEDLe2lo8NQ5fEc65iTMgRXML3_snN/view?usp=drivesdk,
LK/007/EHR/84/BBY/TM,The Garden of Uncle Markus and Aunt Christina,1984,EddiE HarA,"16 x 14,5 cm",Cat air di atas kertas,TANDA MATA I,C02-2,,/TM-Low/LK007EHR84BBYTM.jpeg,LK_007_EHR_84_BBY_TM.pdf,https://drive.google.com/file/d/1C5NSGFFHGR-5rN5pZvN_ZKf9BCq4g65F/view?usp=drivesdk,
LK/008/TDS/86/BBY/TM,Istirahat (Sketsa Irian),1986,Tedja Suminar,"39 x 49,5 cm",Tinta di atas kertas,TANDA MATA I,C02-1,,/TM-Low/LK008TDS86BBYTM.jpeg,LK_008_TDS_86_BBY_TM.pdf,https://drive.google.com/file/d/1TDkmVzly2CcTfCAXZQdIjyw37ZXw91O3/view?usp=drivesdk,
LK/009/LIN/86/BBY/TM,Kuda,1986,Lini,65 x 49 cm,Cat minyak di atas kanvas,TANDA MATA I,C01-2,,/TM-Low/LK009LIN86BBYTM.jpeg,LK_009_LIN_86_BBY_TM.pdf,https://drive.google.com/file/d/1jnsuTERYEZ1rde1t3Fq32T3mNemKPsfv/view?usp=drivesdk,
LK/010/HDJ/86/BBY/TM,Nelayan,1986,Hardjiman,95 x 140 cm,Cat minyak di atas kanvas,TANDA MATA I,C02-1,Karya ini menunjukkan jejak corak dekoratif yang masih terus ikut memperkaya gaya lukis modern Indonesia. Harjiman berhasil memanfaatkan kesan barik yang kaya pada seluruh bidang gambarnya yang merekam kesibukan perkampungan nelayan di tepian pantai.,/TM-Low/LK010HDJ86BBYTM.jpeg,LK_010_HDJ_86_BBY_TM.pdf,https://drive.google.com/file/d/1zCk6cyiadkdV-bQeFXg91lo-If9S9hwV/view?usp=drivesdk,
LK/011/DDS/87/BBY/TM,"""Mainan - Persaingan Industri""",1987,Didik Suardi,105 x 95 cm,Cat minyak di atas kanvas,TANDA MATA I,C03-1,,/TM-Low/LK011DDS87BBYTM.jpeg,LK_011_DDS_87_BBY_TM.pdf,https://drive.google.com/file/d/1tzgjhZdWH6ZQH1gG1sbSe0CUtm1O3N31/view?usp=drivesdk,
