_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/001/SWD/68/BBJ/PL,SG_001_SWD_68_BBJ_PL.pdf,https://drive.google.com/file/d/1aFACDoVi7FBhnrYieVHjY-SWB38CvkHs/view?usp=drivesdk,Perahu,1968,Sri Widodo,64 x 49 cm,Monotype,D17-1,/QR/QR-Data-PL/SG-001-SWD-68-BBJ-PL.png
SG/002/SWD/68/BBJ/PL,SG_002_SWD_68_BBJ_PL.pdf,https://drive.google.com/file/d/1GEMfy52CY6toJ5HLxAHnFw5KWfQrvti3/view?usp=drivesdk,Pohon,1968,Sri Widodo,64 x 49 cm,Monotype,D15-1,/QR/QR-Data-PL/SG-002-SWD-68-BBJ-PL.png
SG/003/ZIN/--/BBJ/PL,SG_003_ZIN_--_BBJ_PL.pdf,https://drive.google.com/file/d/113BD_tSByR-nSg8spnWC8L8N7i3CRqfo/view?usp=drivesdk,Kembang,,Zaini,39 x 49 cm,Monotype,E13-2,/QR/QR-Data-PL/SG-003-ZIN----BBJ-PL.png
SG/004/ZIN/67/BBJ/PL,SG_004_ZIN_67_BBJ_PL.pdf,https://drive.google.com/file/d/1s2yxBrnF_dZXu7NdNHB53iPH36Ny8sKj/view?usp=drivesdk,Perahu-Perahu,1967,Zaini,22 x 20.5 cm,Woodcut,E07-2,/QR/QR-Data-PL/SG-004-ZIN-67-BBJ-PL.png
SG/005/BTR/72/BBJ/PL,SG_005_BTR_72_BBJ_PL.pdf,https://drive.google.com/file/d/1jIWbXSCICGKw24BWA9k4OXe6HAbFvB3w/view?usp=drivesdk,"Tanah, Langit, dan Laut",1972,Bachtiar,30 x 24 cm,Cetak saring 6/15,D15-1,/QR/QR-Data-PL/SG-005-BTR-72-BBJ-PL.png
SG/006/TSO/75/BBJ/PL,SG_006_TSO_75_BBJ_PL.pdf,https://drive.google.com/file/d/11PjPbv4EDAeWccqIvr6qVxcsBeVDMTys/view?usp=drivesdk,Komposisi,1975,T. Sutanto,62 x 52 cm,Cetak saring 27/37,E12-1,/QR/QR-Data-PL/SG-006-TSO-75-BBJ-PL.png
SG/007/GST/75/BBJ/PL,SG_007_GST_75_BBJ_PL.pdf,https://drive.google.com/file/d/1AI9-U5nYXX6IWfBLqdclSvkM2c20y4WY/view?usp=drivesdk,Kembar Berulang,1975,G. Sidharta,58 x 45 cm,Cetak Saring 24/35 diatas kertas,E09-1,/QR/QR-Data-PL/SG-007-GST-75-BBJ-PL.png
SG/008/GST/77/BBJ/PL,SG_008_GST_77_BBJ_PL.pdf,https://drive.google.com/file/d/1hbruCUlM8cWMcrVG-Pt10PtVw7SV50iK/view?usp=drivesdk,Gapai,1977,G. Sidharta,43 x 37 cm,Silk screen 35/39,D15-1,/QR/QR-Data-PL/SG-008-GST-77-BBJ-PL.png
SG/009/GST/76/BBJ/PL,SG_009_GST_76_BBJ_PL.pdf,https://drive.google.com/file/d/1eqUXE3CZMMHAA7ekb3kMF3EbAlCQNDiT/view?usp=drivesdk,Adegani,1976,G. Sidharta,47 x 57 cm,Cetak saring 23/30,E14-2,/QR/QR-Data-PL/SG-009-GST-76-BBJ-PL.png
SG/010/PRS/75/BBJ/PL,SG_010_PRS_75_BBJ_PL.pdf,https://drive.google.com/file/d/1pNneTE4enHQ3OJe1mWMQfVLZbU--CxOL/view?usp=drivesdk,Biskuit IV,1975,Priyanto S,78 x 78 cm,Cetak saring 58/59,E12-1,/QR/QR-Data-PL/SG-010-PRS-75-BBJ-PL.png
