_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/001/SRY/91/BBY/TM,SG_001_SRY_91_BBY_TM.pdf,https://drive.google.com/file/d/1LeLynbOUUaX58OxeHJOKX9F2OfOowo3C/view?usp=drivesdk,Topeng Kepala Suku IV,1991,Slamet Riyanto,60 x 60 cm,Hardboard cut,E06-2,/QR/QR-Data-TM/SG-001-SRY-91-BBY-TM.png
SG/002/PCY/85/BBY/TM,SG_002_PCY_85_BBY_TM.pdf,https://drive.google.com/file/d/1co_-sBnzIvWmPnSd6C-3rIiQDBNdbPI9/view?usp=drivesdk,Dutaning Nata Sung Binakara,1985,Pracoyo,62 x 52 cm,Woodcut,E13-1,/QR/QR-Data-TM/SG-002-PCY-85-BBY-TM.png
SG/003/NWR/86/BBY/TM,SG_003_NWR_86_BBY_TM.pdf,https://drive.google.com/file/d/1VlaK6Hauwmt3bUOKUv1xHWisHnQkKQjn/view?usp=drivesdk,Pergi Sembahyang,1986,I Ngh Wirakesuma,40 x 30 cm,Hardboard cut,F07-1,/QR/QR-Data-TM/SG-003-NWR-86-BBY-TM.png
SG/004/TIS/87/BBY/TM,SG_004_TIS_87_BBY_TM.pdf,https://drive.google.com/file/d/1vZtW6nl0NiAtUOYH2oxa_oNk9Ci2NqWB/view?usp=drivesdk,Pesta Pencuri,1987,Tisna Sanjaya,52 x 51 cm,Etsa Drypoint,E14-2,/QR/QR-Data-TM/SG-004-TIS-87-BBY-TM.png
SG/005/PTW/89/BBY/TM,SG_005_PTW_89_BBY_TM.pdf,https://drive.google.com/file/d/1EFjm3U0Ck_dP_fmN26e54KlFP829ieix/view?usp=drivesdk,Garuda Sakti,1989,Putu Winasa,60 x 60 cm,Hardboard cut,E02-2,/QR/QR-Data-TM/SG-005-PTW-89-BBY-TM.png
SG/006/BGW/89/BBY/TM,SG_006_BGW_89_BBY_TM.pdf,https://drive.google.com/file/d/11EJ-ZQVNBy-1V37OfwWd-2bgfvgAspNu/view?usp=drivesdk,Puber,1989,B. Gunawan,60 x 60 cm,Hardboard Cut,E14-2,/QR/QR-Data-TM/SG-006-BGW-89-BBY-TM.png
SG/007/YES/90/BBY/TM,SG_007_YES_90_BBY_TM.pdf,https://drive.google.com/file/d/11OM9QgK5Y84m1fuECWSuzntTzfJoTDTa/view?usp=drivesdk,Bibir Berbunga,1990,Y. Eka Suprihadi,37 x 37 cm,Hardboard,E05-2,/QR/QR-Data-TM/SG-007-YES-90-BBY-TM.png
SG/008/AKA/97/BBY/TM,SG_008_AKA_97_BBY_TM.pdf,https://drive.google.com/file/d/16hCXvkf5zsUPrly8OFJP41sjcx2_WQKW/view?usp=drivesdk,Mad Family,1997,Aris K,D42 cm,Etsa ,E13-1,/QR/QR-Data-TM/SG-008-AKA-97-BBY-TM.png
SG/009/AZN/96/BBY/TM,SG_009_AZN_96_BBY_TM.pdf,https://drive.google.com/file/d/1oWnVtUwO1EoORGTWiZkbOozAUWWEAYVJ/view?usp=drivesdk,Interior,1996,Acep Zamzam Noor,46 x 76 cm,Etsa,E01-2,/QR/QR-Data-TM/SG-009-AZN-96-BBY-TM.png
SG/010/WSW/98/BBY/TM,SG_010_WSW_98_BBY_TM.pdf,https://drive.google.com/file/d/1pZIdVh8C520yWTgsavLZHIwUT6qNZTuN/view?usp=drivesdk,Putus Asa,1998,Wiwik Sri Wulandari,61 x 61 cm,Woodcut diatas Kanvas,E05-1,/QR/QR-Data-TM/SG-010-WSW-98-BBY-TM.png
SG/011/YUA/97/BBY/TM,SG_011_YUA_97_BBY_TM.pdf,https://drive.google.com/file/d/1nSg-ZJpioj0smx1uqDMjC_gs-tCubvT1/view?usp=drivesdk,Merapi Putih,1997,Yulis Armita,40 x 30 cm,Woodcut,E03-2,/QR/QR-Data-TM/SG-011-YUA-97-BBY-TM.png
SG/012/BRS/97/BBY/TM,SG_012_BRS_97_BBY_TM.pdf,https://drive.google.com/file/d/1kWQxvYkukXxhM1TYTBn7-aZEEBQN09xA/view?usp=drivesdk,Thek - Thek,1997,Daru Sukamto,50 x 40 cm,Intaglio,E12-2,/QR/QR-Data-TM/SG-012-BRS-97-BBY-TM.png
SG/013/AHP/95/BBY/TM,SG_013_AHP_95_BBY_TM.pdf,https://drive.google.com/file/d/1RIVh7Lqw60VidrT1-GZIk5ckNpxsA36k/view?usp=drivesdk,Rest in Peace,1995,Agus Heru Prasetyo,50 x 60 cm,Etsa Aquatin,E12-2,/QR/QR-Data-TM/SG-013-AHP-95-BBY-TM.png
SG/014/BKS/98/BBY/TM,SG_014_BKS_98_BBY_TM.pdf,https://drive.google.com/file/d/1p6luM3k2FbDsC8SSVFaHplJK6auwUI1m/view?usp=drivesdk,Menuju Abadi,1998,Bambang Kusdirgonugroho,35 x 30 cm,Comp Print,E02-2,/QR/QR-Data-TM/SG-014-BKS-98-BBY-TM.png
SG/015/AGH/97/BBY/TM,SG_015_AGH_97_BBY_TM.pdf,https://drive.google.com/file/d/1707V3nUE9KQzlrWC_o_0JFgVfEHXVaZE/view?usp=drivesdk,Banteng Beol,1997,Agung Hanafi,70 x 80 cm,Hardboard Cut on paper,E05-2,/QR/QR-Data-TM/SG-015-AGH-97-BBY-TM.png
SG/016/AES/98/BBY/TM,SG_016_AES_98_BBY_TM.pdf,https://drive.google.com/file/d/1tHz5JGEwxX4ir1tI3ElMmY4sTI9ZMRX1/view?usp=drivesdk,Sebuah Kampung di Kota,1998,Arief Eko Saputro,60 x 40 cm,Hardboard Cut,E12-1,/QR/QR-Data-TM/SG-016-AES-98-BBY-TM.png
SG/017/APY/98/BBY/TM,SG_017_APY_98_BBY_TM.pdf,https://drive.google.com/file/d/1QBv0oglNRzNXBjZgUMmeIVAVAon3sAK7/view?usp=drivesdk,Ketegangan di Seputar Kepala,1998,Agus Prasetyo,60 x 40 cm,Relief Print,E09-1,/QR/QR-Data-TM/SG-017-APY-98-BBY-TM.png
SG/018/DDI/98/BBY/TM,SG_018_DDI_98_BBY_TM.pdf,https://drive.google.com/file/d/1kdnjGNhPdEM0Eg2Nct1l-rvZOlbLsVX2/view?usp=drivesdk,Ha...Ha...Ha...,1998,Dadang Imawan,35 x 35 cm,Hardboard Cut,E04-2,/QR/QR-Data-TM/SG-018-DDI-98-BBY-TM.png
SG/019/HFR/98/BBY/TM,SG_019_HFR_98_BBY_TM.pdf,https://drive.google.com/file/d/1-mQfg4HeuQDSU-bf9JG16rXofnreGnKi/view?usp=drivesdk,Menari,1998,Henry Firmanto,40 x 30 cm,Relief Print,E02-1,/QR/QR-Data-TM/SG-019-HFR-98-BBY-TM.png
SG/020/WDJ/98/BBY/TM,SG_020_WDJ_98_BBY_TM.pdf,https://drive.google.com/file/d/1cIjmVXKPmKrXezoO8e0h-w1TlFFBAKrm/view?usp=drivesdk,O..OH,1998,Wahyu Dwi J,30 x 40 cm,Intaglio + Relief Print,E04-1,/QR/QR-Data-TM/SG-020-WDJ-98-BBY-TM.png
SG/021/TLS/98/BBY/TM,SG_021_TLS_98_BBY_TM.pdf,https://drive.google.com/file/d/1AT0Da2au5nKOLb5WdBmhsUd4_00YraV6/view?usp=drivesdk,Naik Tiger,1998,Tulus,25 x 40 cm,Hardboard cut,E14-1,/QR/QR-Data-TM/SG-021-TLS-98-BBY-TM.png
SG/022/MAY/99/BBY/TM,SG_022_MAY_99_BBY_TM.pdf,https://drive.google.com/file/d/1SEUwQVDsjtSTz4-BqfuxN2oYFOS1-rZw/view?usp=drivesdk,Isyarat Cinta 1,1999,I Made Aryadwita (Dedok),40 x 40 cm,Tinta cetak pada kertas,F07-1,/QR/QR-Data-TM/SG-022-MAY-99-BBY-TM.png
SG/023/ZAD/00/BBY/TM,SG_023_ZAD_00_BBY_TM.pdf,https://drive.google.com/file/d/1gciWv6zzv6gvqLGqVXV05J2jBzbYy_ir/view?usp=drivesdk,Dalam Kedamaian Puji Syukur,2000,Zamrud SN,24 x 37 cm,,E04-1,/QR/QR-Data-TM/SG-023-ZAD-00-BBY-TM.png
